department,product_name_base,product_name_recommended,lift,confidence,support
dairy eggs,Organic Whole String Cheese,Organic Strawberries,2.283765087664864,0.21631205673758863,0.00414374023503838
dairy eggs,Organic Unsweetened Almond Milk,Organic Hass Avocado,2.249817109144543,0.15542857142857142,0.0030795009397006543
dairy eggs,Organic Unsweetened Almond Milk,Organic Baby Spinach,2.1909707971586423,0.18857142857142856,0.003736159228313294
dairy eggs,Organic Unsweetened Almond Milk,Bag of Organic Bananas,1.8334222843171497,0.2377142857142857,0.004709824966601001
dairy eggs,Unsweetened Original Almond Breeze Almond Milk,Banana,1.7886396653892243,0.2720848056537103,0.003487081946425741
dairy eggs,Organic Whole Milk,Organic Strawberries,1.7851240528432892,0.16908212560386474,0.007132667617689016
dairy eggs,Organic Whole String Cheese,Bag of Organic Bananas,1.7139364303178481,0.2222222222222222,0.004256957181350904
dairy eggs,Large Alfresco Eggs,Bag of Organic Bananas,1.6504129122711029,0.213986013986014,0.0034644385571632364
dairy eggs,Organic Grade A Free Range Large Brown Eggs,Bag of Organic Bananas,1.6016092268581368,0.20765832106038293,0.0031927178860131785
dairy eggs,Organic Whole Milk,Bag of Organic Bananas,1.5855981951974298,0.20558239398819111,0.008672418087539343
produce,Orange Bell Pepper,Yellow Bell Pepper,18.941070509521364,0.20114942528735635,0.0031700744967506737
produce,Yellow Bell Pepper,Orange Bell Pepper,18.94107050952136,0.2985074626865672,0.0031700744967506737
produce,Green Bell Pepper,Red Peppers,6.286826194099191,0.1564482029598309,0.003351221610850712
produce,Red Peppers,Green Bell Pepper,6.286826194099191,0.13466787989080983,0.003351221610850712
produce,Organic Ginger Root,Organic Garlic,5.6416744927288764,0.22419533851276358,0.004573964631025972
produce,Organic Garlic,Organic Ginger Root,5.641674492728876,0.11509971509971509,0.004573964631025972
produce,Bunched Cilantro,Limes,5.219730825693099,0.28106151990349815,0.005275909698163621
produce,Limes,Bunched Cilantro,5.219730825693099,0.09798149705634987,0.005275909698163621
produce,Organic Garlic,Organic Yellow Onion,5.00225119993204,0.20512820512820515,0.008151620134501733
produce,Organic Yellow Onion,Organic Garlic,5.002251199932039,0.19878520154610713,0.008151620134501733
